customerPrdct_id,PhoneService,MultipleLines,InternetService
3583-KRKMD,Yes,No,Fiber optic
1010-DIAUQ,Yes,No,Fiber optic
9069-LGEUL,Yes,No,DSL
7302-ZHMHP,Yes,No,No
9571-EDEBV,Yes,Yes,Fiber optic
3520-FJGCV,Yes,Yes,Fiber optic
6563-VRERX,Yes,No,No
0259-GBZSH,Yes,Yes,Fiber optic
6122-EFVKN,No,No phone service,DSL
2805-EDJPQ,Yes,Yes,Fiber optic
6862-CQUMB,Yes,No,Fiber optic
7156-MXBJE,Yes,Yes,DSL
6158-HDPXZ,No,No phone service,DSL
9601-BRXPO,Yes,Yes,Fiber optic
2863-IMQDR,Yes,Yes,DSL
5686-CMAWK,Yes,Yes,Fiber optic
5651-CRHKQ,Yes,No,Fiber optic
6905-NIQIN,Yes,No,DSL
8204-YJCLA,No,No phone service,DSL
5167-ZFFMM,Yes,Yes,Fiber optic
6583-SZVGP,Yes,Yes,Fiber optic
4895-TMWIR,Yes,No,No
0533-BNWKF,Yes,Yes,Fiber optic
1708-PBBOA,No,No phone service,DSL
8782-LKFPK,Yes,Yes,Fiber optic
5522-JBWMO,Yes,No,DSL
3597-MVHJT,Yes,Yes,Fiber optic
9774-NRNAU,Yes,Yes,DSL
0224-RLWWD,Yes,No,DSL
9967-ATRFS,Yes,No,No
3951-NJCVI,Yes,Yes,Fiber optic
2977-CEBSX,Yes,Yes,DSL
0177-PXBAT,Yes,Yes,Fiber optic
6599-CEBNN,Yes,No,Fiber optic
2519-ERQOJ,No,No phone service,DSL
5876-QMYLD,Yes,No,No
2277-AXSDC,Yes,No,No
9442-JTWDL,Yes,No,No
0979-PHULV,Yes,Yes,Fiber optic
3067-SVMTC,Yes,No,DSL
5495-GPSRW,Yes,No,No
7606-BPHHN,Yes,No,No
4742-DRORA,Yes,Yes,Fiber optic
0111-KLBQG,Yes,No,Fiber optic
4800-VHZKI,Yes,No,No
7989-CHGTL,Yes,No,No
0334-GDDSO,Yes,Yes,Fiber optic
4163-NCJAK,Yes,Yes,No
5233-AOZUF,Yes,Yes,Fiber optic
5973-EJGDP,Yes,Yes,Fiber optic
1996-DBMUS,Yes,No,Fiber optic
7916-VCCPB,Yes,No,Fiber optic
4686-GEFRM,Yes,Yes,Fiber optic
5249-QYHEX,Yes,Yes,No
0578-SKVMF,Yes,No,Fiber optic
5564-NEMQO,Yes,No,Fiber optic
2233-FAGXV,Yes,Yes,No
5605-IYGFG,Yes,No,Fiber optic
7663-ZTEGJ,Yes,Yes,Fiber optic
3935-TBRZZ,Yes,Yes,No
8111-BKVDS,No,No phone service,DSL
2055-SIFSS,Yes,Yes,DSL
2806-MLNTI,Yes,Yes,Fiber optic
8734-DKSTZ,Yes,Yes,Fiber optic
4360-PNRQB,Yes,Yes,Fiber optic
6152-ONASV,Yes,Yes,DSL
9063-ZGTUY,Yes,No,No
7781-HVGMK,No,No phone service,DSL
2181-UAESM,Yes,No,DSL
2957-LOLHO,Yes,No,DSL
6048-NJXHX,Yes,No,No
2320-SLKMB,No,No phone service,DSL
4980-URKXC,Yes,No,No
4376-KFVRS,Yes,Yes,Fiber optic
5886-VLQVU,Yes,Yes,Fiber optic
3577-AMVUX,Yes,No,DSL
0771-WLCLA,Yes,Yes,Fiber optic
5628-RKIFK,Yes,Yes,Fiber optic
0206-TBWLC,Yes,Yes,Fiber optic
2937-FTHUR,Yes,Yes,DSL
1910-FMXJM,Yes,No,Fiber optic
7752-XUSCI,Yes,Yes,Fiber optic
4110-PFEUZ,Yes,No,Fiber optic
0732-OCQOC,Yes,Yes,No
5168-MSWXT,Yes,No,Fiber optic
1090-ESELR,Yes,No,Fiber optic
8592-PLTMQ,Yes,Yes,No
5760-WRAHC,Yes,No,DSL
8847-GEOOQ,No,No phone service,DSL
0256-LTHVJ,Yes,No,Fiber optic
4785-FCIFB,Yes,Yes,No
8313-NDOIA,Yes,Yes,Fiber optic
5149-CUZUJ,Yes,No,Fiber optic
0942-KOWSM,Yes,No,DSL
4237-CLSMM,Yes,No,No
1452-VOQCH,Yes,Yes,Fiber optic
4719-UMSIY,Yes,No,No
6614-VBEGU,Yes,No,DSL
0880-TKATG,Yes,Yes,Fiber optic
3811-VBYBZ,Yes,Yes,Fiber optic
1480-BKXGA,Yes,Yes,Fiber optic
2996-XAUVF,No,No phone service,DSL
9076-AXYIK,Yes,Yes,Fiber optic
5968-XQIVE,Yes,Yes,Fiber optic
8896-RAZCR,Yes,No,No
4640-UHDOS,Yes,No,DSL
4933-IKULF,Yes,No,No
3583-EKAPL,Yes,No,DSL
1304-BCCFO,Yes,No,DSL
4104-PVRPS,Yes,No,DSL
9399-APLBT,Yes,No,Fiber optic
2359-KMGLI,Yes,Yes,Fiber optic
3780-DDGSE,Yes,No,DSL
4431-EDMIQ,Yes,No,DSL
0306-JAELE,Yes,No,Fiber optic
6227-HWPWX,Yes,No,Fiber optic
0486-LGCCH,Yes,No,No
0447-BEMNG,No,No phone service,DSL
4612-SSVHJ,Yes,No,Fiber optic
5168-MQQCA,Yes,Yes,Fiber optic
5949-XIKAE,Yes,No,Fiber optic
7971-HLVXI,Yes,Yes,Fiber optic
9094-AZPHK,Yes,Yes,Fiber optic
3649-JPUGY,Yes,Yes,DSL
4472-LVYGI,No,No phone service,DSL
8372-JUXUI,Yes,Yes,Fiber optic
3552-CTCYF,Yes,Yes,Fiber optic
6778-YSNIH,Yes,No,DSL
0388-EOPEX,Yes,No,Fiber optic
5756-OZRIO,Yes,Yes,DSL
6579-JPICP,Yes,No,No
8205-OTCHB,No,No phone service,DSL
4134-BSXLX,Yes,No,DSL
0505-SPOOW,Yes,No,No
6235-VDHOM,No,No phone service,DSL
7783-YKGDV,Yes,Yes,Fiber optic
4374-YMUSQ,Yes,Yes,Fiber optic
4513-CXYIX,Yes,Yes,Fiber optic
3957-HHLMR,Yes,Yes,DSL
7803-XOCCZ,Yes,No,Fiber optic
5736-YEJAX,Yes,Yes,DSL
5609-CEBID,Yes,Yes,Fiber optic
8981-FJGLA,Yes,Yes,Fiber optic
7218-HKQFK,Yes,No,Fiber optic
4636-QRJKY,Yes,Yes,Fiber optic
1135-LMECX,Yes,No,No
4332-MUOEZ,Yes,No,Fiber optic
8535-SFUTN,Yes,Yes,Fiber optic
5956-VKDTT,Yes,Yes,Fiber optic
8677-HDZEE,Yes,Yes,Fiber optic
2475-MROZF,Yes,Yes,Fiber optic
9412-GHEEC,Yes,Yes,Fiber optic
3482-ABPKK,Yes,No,DSL
6705-LXORM,Yes,No,Fiber optic
0257-ZESQC,Yes,No,Fiber optic
7531-GQHME,Yes,No,No
5174-ITUMV,Yes,Yes,Fiber optic
4109-CYRBD,Yes,Yes,DSL
0913-XWSCN,Yes,Yes,Fiber optic
6825-UYPFK,Yes,Yes,Fiber optic
8397-MVTAZ,Yes,Yes,Fiber optic
0750-EBAIU,Yes,No,Fiber optic
8606-CIQUL,Yes,Yes,Fiber optic
3571-DPYUH,Yes,Yes,Fiber optic
7601-GNDYK,Yes,No,No
0356-OBMAC,Yes,Yes,Fiber optic
8067-NIOYM,Yes,No,No
1403-GYAFU,Yes,No,No
4234-XTNEA,Yes,No,Fiber optic
1297-VQDRP,Yes,Yes,Fiber optic
9282-IZGQK,Yes,Yes,Fiber optic
5348-CAGXB,Yes,Yes,Fiber optic
0621-HJWXJ,Yes,Yes,Fiber optic
5844-QVTAT,Yes,No,DSL
8905-IAZPF,Yes,No,Fiber optic
5394-MEITZ,Yes,No,DSL
6859-QNXIQ,Yes,Yes,Fiber optic
2782-LFZVW,Yes,Yes,DSL
2866-IKBTM,Yes,No,No
1342-JPNKI,Yes,Yes,Fiber optic
2817-NTQDO,No,No phone service,DSL
7129-AZJDE,Yes,No,Fiber optic
6986-IJDHX,Yes,No,Fiber optic
2560-PPCHE,Yes,Yes,Fiber optic
4676-MQUEA,Yes,Yes,Fiber optic
8138-EALND,Yes,No,No
3580-HYCSP,Yes,Yes,Fiber optic
1352-HNSAW,Yes,Yes,Fiber optic
2075-PUEPR,Yes,No,No
1982-FEBTD,Yes,Yes,No
5301-GAUUY,Yes,Yes,Fiber optic
5791-KAJFD,Yes,Yes,DSL
2654-VBVPB,Yes,No,No
1154-HYWWO,Yes,No,DSL
2501-XWWTZ,Yes,No,Fiber optic
3716-UVSPD,Yes,No,DSL
6815-ABQFQ,Yes,Yes,Fiber optic
7343-EOBEU,Yes,Yes,No
3701-SFMUH,Yes,No,DSL
6103-LIANB,Yes,Yes,Fiber optic
7319-VENRZ,Yes,No,DSL
5846-NEQVZ,Yes,No,DSL
6967-QIQRV,Yes,No,Fiber optic
5781-RFZRP,Yes,Yes,DSL
0939-YAPAF,Yes,Yes,Fiber optic
0308-IVGOK,No,No phone service,DSL
7293-LSCDV,Yes,No,No
7025-WCBNE,Yes,Yes,DSL
5756-JYOJT,Yes,No,DSL
4710-FDUIZ,Yes,Yes,Fiber optic
6030-REHUX,Yes,Yes,Fiber optic
9548-LIGTA,Yes,No,DSL
5150-LJNSR,Yes,Yes,Fiber optic
8270-RKSAP,Yes,No,Fiber optic
6522-YRBXD,Yes,Yes,Fiber optic
2640-LYMOV,Yes,No,No
1218-VKFPE,Yes,No,No
3627-FHKBK,Yes,No,Fiber optic
2865-TCHJW,Yes,Yes,Fiber optic
1423-BMPBQ,Yes,No,No
2393-DIVAI,Yes,No,No
5192-EBGOV,Yes,Yes,Fiber optic
4568-KNYWR,Yes,No,DSL
8752-IMQOS,Yes,No,No
0742-LAFQK,Yes,Yes,Fiber optic
0795-LAFGP,Yes,Yes,DSL
0619-OLYUR,Yes,Yes,Fiber optic
5512-IDZEI,Yes,Yes,No
0459-SPZHJ,Yes,Yes,DSL
0215-BQKGS,Yes,No,Fiber optic
9244-ZVAPM,Yes,No,DSL
0719-SYFRB,Yes,Yes,DSL
8208-EUMTE,No,No phone service,DSL
5172-MIGPM,Yes,Yes,DSL
1710-RCXUS,Yes,Yes,Fiber optic
0374-FIUCA,Yes,No,No
5839-SUYVZ,Yes,No,Fiber optic
5173-ZXXXL,Yes,No,No
1096-ADRUX,Yes,Yes,Fiber optic
2001-MCUUW,Yes,Yes,Fiber optic
2731-GJRDG,Yes,Yes,Fiber optic
4723-BEGSG,Yes,Yes,DSL
6516-NKQBO,Yes,No,DSL
8672-OAUPW,Yes,No,DSL
8207-DMRVL,Yes,Yes,Fiber optic
3419-SNJJD,Yes,Yes,Fiber optic
6543-CPZMK,No,No phone service,DSL
4765-OXPPD,Yes,No,DSL
2804-ETQDK,Yes,No,No
6689-VRRTK,Yes,Yes,Fiber optic
7138-GIRSH,Yes,Yes,DSL
9396-ZSFLL,Yes,Yes,DSL
6464-KEXXH,No,No phone service,DSL
7134-MJPDY,Yes,Yes,Fiber optic
5240-CAOYT,Yes,Yes,Fiber optic
4059-IIEBK,Yes,Yes,Fiber optic
4881-JVQOD,No,No phone service,DSL
0516-UXRMT,Yes,Yes,Fiber optic
4851-BQDNX,Yes,No,Fiber optic
5148-HKFIR,Yes,No,No
1009-IRMNA,Yes,No,No
3003-CMDUU,Yes,No,Fiber optic
5016-IBERQ,Yes,Yes,Fiber optic
6797-UCJHZ,Yes,Yes,Fiber optic
2469-DTSGX,Yes,Yes,Fiber optic
4554-YGZIH,Yes,Yes,Fiber optic
5099-BAILX,Yes,Yes,Fiber optic
9931-KGHOA,Yes,Yes,DSL
1775-KWJKQ,Yes,Yes,DSL
7665-VIGUD,Yes,No,No
9411-TPQQV,No,No phone service,DSL
7207-RMRDB,Yes,Yes,Fiber optic
7954-MLBUN,Yes,No,Fiber optic
2077-DDHJK,Yes,Yes,DSL
4913-EHYUI,Yes,Yes,Fiber optic
0195-IESCP,Yes,Yes,Fiber optic
9574-BOSMD,Yes,Yes,No
4580-TMHJU,Yes,No,DSL
0970-ETWGE,Yes,No,Fiber optic
4908-XAXAY,Yes,No,Fiber optic
8404-VLQFB,Yes,Yes,No
1626-ERCMM,Yes,Yes,Fiber optic
0887-HJGAR,Yes,No,DSL
2391-IPLOP,Yes,Yes,DSL
5644-PDMZC,Yes,Yes,Fiber optic
3509-GWQGF,Yes,No,Fiber optic
9576-ANLXO,Yes,No,Fiber optic
2024-BASKD,Yes,No,Fiber optic
5845-BZZIB,Yes,No,No
1140-UKVZG,Yes,Yes,No
4160-AMJTL,Yes,No,No
5183-SNMJQ,Yes,No,Fiber optic
8100-PNJMH,Yes,Yes,DSL
7838-LAZFO,Yes,No,DSL
4464-JCOLN,Yes,No,No
2085-JVGAD,Yes,No,No
5650-VDUDS,No,No phone service,DSL
8095-WANWK,Yes,No,DSL
3030-ZKIWL,Yes,No,No
